product_id,product_name,actual_price,percent_discount
52,NEW CABLETIME 8K USB C to HDMI Cable Type C Video Adapter 4K 144Hz Zinc Alloy for Macbook Air Samsung iPad Pro HUAWEI Laptop ,806.7,54
53,2024 MSI Raider GE78HX Gaming Laptop 17 Inch 2.5K QHD 240Hz Screen Notebook i9-14900HX 32GB 2TB RTX4090 Gaming Netbook Computer ,96317.64,33
54,Classic Lenovo Yangtian V14 Laptop 14 Inch FHD Screen i5-10210U Processor 8GB Ram 256GB 512GB SSD Quality Best Price HDMI ,17413.11,0
55,Xiaomi Redmi Book 14 2024 Laptop Intel Core I5-13500H 14inch 2.8K 120Hz Screen iris Xe Graphics 16G DDR5 512G/1TB SSD Notebook ,17842.58,36
56,memoria ram ddr3 2GB 4GB 8GB DDR2 667MHZ 800MHZ PC2 5300S 6400S DDR3 1333MHZ 1600MHZ PC3 10600S 12800S SO-DIMM Laptop Memory ,88.66,0
57,Exquisite High-end HUAWEI Laptop MateBook X 2021 i7-1160G7 i5-1130G7 13 inch 3K Touch Screen Fingerprint Backlit Keyboard Share ,44007.68,0
58,"New arrival! GPD WIN Max 2 10.1 Inch Handheld Gaming PC Laptop UMPC AMD 8840U Processor Windows 11,32GB/64GB RAM,2TB Nvme SSD ",23903.45,0
59,New! GPD WIN Mini AMD 7840U 7Inch Handheld GamePad Tablet 64GB RAM 2TB ROM Pocket Mini PC Laptop Game Player Console ,20689.94,0
60,[updated version]GPD WIN 4 WIN4 AMD 8840U 6Inch Handheld GamePad Tablet 32GB RAM 2TB Pocket Mini PC Laptop Game Player Console ,14563.69,0
61,New 2024 Xiaomi Redmi Book 16 Laptop Intel Core i5-13500H 16inch 2.5K Notebook 16GB DDR5+512G/1TB SSD Iris Xe Thunderbolt 4 ,18080.99,33
62,K&F Concept Large Camera Backpack DSLR Camera Bag Fits 15.6 Inch Laptop 13L with Tripod Holder Compatible with Canon Nikon Sony ,1718.52,58
63,HUAWEI MateBook X Pro 2022 Laptop i5-1155G7/i7-1195G7 lris Xe Graphics 16GB 512GB/1TB SSD 14.2 Inch 3.1K Touchscreen Notebook ,28699.31,36
64,Xiaomi Redmi G Pro 2022 Laptop AMD R7 6800H 16G/32 RAM 512G/1T SSD Geforce RTX3060 GPU Notebook 2.5K 240Hz 16'' Game Notebook PC ,27702.68,0
65,HUAWEI 2023 MateBook 14s Laptop i5-13500H/i7-13700H/i7-13900H 16GB/32GB 512GB Netbook 14.2-inch 2.5K 120Hz TouchScreen SSD WiFi6 ,30736.02,33
66,CABLETIME 240W PD Cable USB C to USB C Cable Fast Charger Adapter Type C to C Cable Power Wire for Laptop Macbook Samsung iPad ,248.06,54
67,"GPD WIN Max 2 10.1-inch Pocket Gaming PC Laptop AMD 7640U Processor Windows 11, 16GB RAM, 1TB SSD Mini Laptop ",19892.4,33
68,2022 HUAWEI MateBook X Laptop i5-1130G7/i7-1160G7 16GB512GB/1T Notebook 13 Inch 3k LTPS TouchScreen Netbook Iris Xe Graphics SSD ,33749.26,44
69,"nnew selling Alienware Area 51M Gaming Laptop, 17.3"" 300hz 3ms ",18644.76,0
70,Swift Order! Raze  Blade 18 (2023) Notebook I9-13950HX/16GB/1TB/18'' QHD/RTX4060 Gaming Laptop ,10176.7,0
71,100% Pro 7i Gen 8- RTX 4080- I9-13900HX 24 Core- 32gb DDR5 1tb Ssd- 2K Gaming Laptop. ,11003.19,0
72,19V 2.37A 5.5*1.7MM 45W Laptop Adapter Charger For Acer Aspire 3 A314-31 A515-51-3509 E5-573-516D Series Notebook Power Supply ,254.55,30
73,Original 2024 Lenovo Laptop ThinkBook 14+ Itel Ultra 5 125H 32GB 1TB DDR5 14.5 Inch 3K 120Hz Computer Office Notebook Slim PC ,20963.88,0
74,Anime Mouse Pad 45x40CM Laptop Mouse Mat Ultrafine Surface E-Sports Professional Gaming Mousepad Gamer Computer Keyboard Mat XL ,254.24,11
75,Original New DDR5 Lenovo ThinkBook 14 Laptop 2024 Ryzen R7 8845H Radeon 780M 16G RAM 1T SSD 14 Inch 2.8K 120Hz Notebook Slim PC ,15522.85,0
76,CRELANDER Mini Laptops 14 Inch 2240*1440 Double Touch Screen Intel Processor Foldable Tablet PC Windows11 Dual Screen Laptop ,10004.62,31
77,New C930 2-In-1 4K Laptop 8th Gen I7-8550U 1TB 16GB Pen FP Reader Win 10. ,8724.08,0
78,100% Pro 7i Gen 8- RTX 4080- I9-13900HX 24 Core- 32gb DDR5 1tb Ssd- 2K Gaming Laptop. ,9990.25,0
79,Management Offer_ ROG Zephyrus Duo 16 Gaming Laptop 9 3.3GHz 32GB 2TB 16GB 16inch QHD+ Black Ge'Force. ,10179.48,0
80,Lenovo Hard Disk Mobile SSD E60 2TB 6TB 8TB 256TB USB 3.1 HD External Hard for Laptop PS5 Mobile Hard Disk HDD Storage Devices ,233.51,82
81,100% C930 2-In-1 4K Laptop 8th Gen I7-8550U 1TB 16GB Pen FP Reader Win 10. ,8771.39,0
82,"Justice Sales_ Predator Triton 300 Gaming Laptop 2021, I7-10750H, NVIDIA Geforce RTX 2070, 15.6"" Full HD IPS Display. ",8612.77,0
83,8PCS Set 5.5MM 2.5MM 2.1MM 1.7MM Universal Source DC Power Adapter Jack Plug Connector Male Female Laptop Charger Connect ,320.99,36
84,HOT DEAL Zen Book 17 Fold OLED Unfold UX9702 X Fold 17.3 Inch Touchscreen Laptop. ,10672.04,0
85,100% GT76 9th Gen Intel I9 Core Processor RTX 2080 Gaming Laptop. ,9397.52,0
86,2024 HUAWEI MateBook D16 SE/D16 i9-13900H/i7-13700H/i5-13500H/i5-13420H 16GB 512GB/1TB 16-inch SSD LPDDR4X Numeric Keypad ,19824.58,44
87,"Xiaomi Redmi Book Pro 16 2024 16"" 3072x1920 Screen Intel Ultra5/Ultra7 Processor 32GB LPDDR5x RAM 1TB SSD 99Wh ARC Graphics ",24694.96,0
88,OneXPlayer M1 Mini PC World's Most Powerful With Intel Core Ultra 9 185H Processor 5.10 GHz Mobile SSD AI Computer Multi Interfa ,13377.38,0
89,NEW For HP 250 255 G4 G5 15-AC BA 15-AY 15-AF TPN-C125 C126 Laptop LCD Back Cover/Front Bezel/Hinges/Palmrest/Bottom Case Silver ,166.35,20
90,"MSI Katana GF76 11UG-254XTR Intel Core i7 11800H 16GB 512GB SSD RTX3070 Freedos 17.3 ""FHD Portable computer ",31353.1,0
91,Asus X509FA-BR951T Intel Core i3 10110U 4GB 256GB SSD Windows 10 Home computers ,18994.54,0
92,lenovo Xiaoxin Air 14 Plus New AMD Ryzen 7 6800HS 16GB RAM 512GB SSD 14inch Windows 11 IPS Screen Notebook computer Ultrabook ,15098.75,0
93,8K HDMI Cable to Displayport Adapter HDMI to DP HDR for Xbox PS5 PS4 Laptop Monitor MacMini Projector TVBox DVD Quality Cable ,1537.14,67
94,Lenovo Gaming Loptop LEGION GeekPro G5000 15.6“144Hz Intel I7-13650HX 16/32G DDR5 512G/1TB/2TB Pcie 4.0 SSD RTX4060 Notebook PC ,22842.35,23
95,Bag only for the GPD G1!!! ONLY BAG ,554.05,0
