sales_id,quantity_sold,discounted_price,amount_saved,shipping_fee
159,4,20.58,0.0,0.0
160,2,16.55,9.29,0.0
161,20,89.65,89.65,0.0
162,2,62.16,50.86,0.0
163,121,275.29,323.18,0.0
164,26,27.19,15.28,0.0
165,0,54.23,69.01,0.0
166,1,192.28,124.35,124.35
167,71,63.16,43.53,43.53
168,1,11.87,0.0,39.73
169,251,19.94,12.51,12.51
170,4,165.53,165.54,0.0
171,221,22.48,5.7,5.7
172,7,5.55,0.0,22.8
173,242,296.44,0.0,0.0
174,21,16.94,0.0,0.0
175,27,296.94,296.96,0.0
176,37,47.33,17.57,0.0
177,3,62.03,131.81,0.0
178,16,59.43,132.26,0.0
179,18,22.95,0.0,0.0
180,26,15.04,0.0,0.0
181,41,13.02,0.0,0.0
182,0,207.06,224.33,0.0
183,126,266.49,312.83,0.0
184,89,377.15,377.16,0.0
185,33,189.97,223.02,0.0
186,0,53.94,35.94,0.0
187,318,183.71,233.8,0.0
188,9,268.14,268.14,0.0
189,13,211.67,0.0,0.0
190,35,8.18,0.0,0.0
191,180,132.08,182.4,0.0
192,11,48.92,14.88,14.88
193,58,50.41,0.0,0.0
194,5,72.3,140.35,0.0
195,31,329.69,474.46,0.0
196,328,149.99,162.46,0.0
197,16,69.65,135.22,0.0
198,4,80.66,118.86,118.86
199,38,60.47,0.0,2.22
200,0,58.27,113.12,0.0
201,0,214.07,251.32,0.0
202,6,30.52,172.88,0.0
203,90,27.23,0.0,0.0
204,24,61.15,129.93,0.0
205,18,79.75,105.7,0.0
206,7,333.74,442.38,0.0
207,10,15.06,19.98,0.0
208,221,139.74,259.53,0.0
209,0,90.33,101.86,0.0
210,35,14.85,16.75,0.0
211,0,105.5,0.0,0.0
212,2,99.4,121.5,0.0
213,96,127.33,236.47,0.0
214,2,115.01,124.6,0.0
215,1,38.13,0.0,0.0
216,7,42.26,20.9,0.0
217,366,19.31,0.0,0.0
218,24,11.87,8.23,0.0
219,8,152.92,0.0,0.0
220,30,376.71,361.95,0.0
221,0,181.9,189.32,0.0
222,91,65.74,139.72,0.0
223,55,6.97,0.0,0.0
224,268,34.35,0.0,0.0
225,35,277.66,353.38,0.0
226,32,42.75,0.0,0.0
227,0,71.45,94.74,0.0
228,8,554.34,705.55,0.0
229,11,47.2,0.0,0.0
230,60,19.94,0.0,0.0
231,0,102.78,111.33,0.0
232,29,581.92,630.43,0.0
233,5,167.09,221.51,0.0
234,12,28.93,0.0,0.0
235,30,30.52,172.88,0.0
236,6,37.04,23.59,0.0
237,0,76.27,0.0,0.0
238,2,97.6,17.23,0.0
239,26,9.82,0.0,0.0
240,133,114.0,221.28,0.0
241,5,36.87,0.0,0.0
242,13,242.2,0.0,0.0
243,3,444.87,863.58,0.0
244,27,181.7,240.88,0.0
245,20,28.49,24.22,0.0
246,278,27.23,0.0,0.0
247,3,449.75,873.05,0.0
248,2,247.03,202.11,0.0
249,71,143.74,255.53,0.0
250,13,55.25,98.3,0.0
251,0,270.22,0.0,0.0
252,362,298.84,0.0,0.0
253,17,216.08,0.0,0.0
254,17,559.47,582.33,0.0
255,6,11.87,0.0,0.0
256,0,266.34,353.04,0.0
257,13,48.65,70.6,70.6
258,0,59.86,116.21,0.0
